iteration,condition_mean,condition_sd,timestep,true_state,speed,belief_a,belief_m,action
1,70,5,7,0,58.581896486573456,0.899998628,0.10000137201523697,0
1,70,5,8,0,74.78558644085648,0.8745690734908889,0.12543092650911117,0
1,70,5,9,0,66.25944436783885,0.7219101661712751,0.2780898338287249,0
1,70,5,10,1,97.31053968522487,0.5207985359210077,0.47920146407899233,0
1,70,5,11,1,79.69929645251173,0.8999961506672945,0.10000384933270554,0
1,70,5,12,1,88.38791397993246,0.8528724466560886,0.14712755334391117,0
1,70,5,13,1,88.07972822665792,0.8989861998619905,0.10101380013800954,0
1,70,5,14,1,95.66884721167719,0.8991934056067482,0.10080659439325179,0
1,70,5,15,1,84.50054366342985,0.899997799,0.10000220138608393,0
1,70,5,16,1,89.13785896224782,0.8937030618146126,0.10629693818538735,0
1,70,5,17,1,85.61070791039315,0.8995758594644219,0.10042414053557819,0
1,70,5,18,1,90.21106873357796,0.8964957659016688,0.10350423409833126,0
1,70,5,19,1,92.91407607,0.8998056114875159,0.10019438851248402,0
2,70,5,0,0,63.74863228891794,0.9,0.1,0
2,70,5,1,0,69.15599759160506,0.7858710515026143,0.21412894849738573,0
2,70,5,2,0,37.95705856497319,0.542689973,0.45731002729561393,0
2,70,5,3,0,94.60406212607482,0.8999999760917674,0.10000002390823261,0
2,70,5,4,0,43.09846622207705,0.8999943492141697,0.10000565078583029,0
2,70,5,5,0,57.37378951515694,0.8999993105272832,0.1000006894727169,0
2,70,5,6,0,77.54322125737065,0.8846294637339017,0.11537053626609835,0
2,70,5,7,0,51.32067870089153,0.8003543876005449,0.19964561239945516,0
2,70,5,8,0,54.130716717064914,0.8987904716020297,0.10120952839797012,0
2,70,5,9,0,56.36488577609726,0.896939792,0.10306020773101311,0
2,70,5,10,1,92.75727022273212,0.8900078437832885,0.10999215621671156,0
2,70,5,11,1,101.4610400640748,0.8999702411066621,0.10002975889333791,0
2,70,5,12,1,90.20769696499202,0.8999999939172997,0.10000000608270039,0
2,70,5,13,1,84.41037277443242,0.8998124685218509,0.10018753147814906,0
2,70,5,14,1,92.69529160290395,0.8933933546159635,0.10660664538403651,0
2,70,5,15,1,87.01920150096767,0.899969791,0.10003020927831095,0
2,70,5,16,1,89.90434751739424,0.8984550193491211,0.1015449806508788,0
2,70,5,17,1,95.87500609750145,0.8997631909233607,0.10023680907663939,0
2,70,5,18,1,86.26064525353068,0.8999981890070398,0.1000018109929601,0
2,70,5,19,1,90.04512625486663,0.8975833142377121,0.10241668576228789,0
3,70,5,0,0,96.82942710145478,0.9,0.1,0
3,70,5,1,0,76.54764775767984,0.8999992614108518,0.10000073858914814,0
3,70,5,2,0,71.44746202108013,0.7923091032585066,0.20769089674149338,0
3,70,5,3,0,42.04760944953264,0.5551535233525542,0.4448464766474458,0
3,70,5,4,0,65.83917696228401,0.8999982156728896,0.10000178432711027,0
3,70,5,5,0,64.67861531,0.7425541270852372,0.2574458729147628,0
3,70,5,6,0,68.75887778,0.5911871366227924,0.40881286337720746,1
3,70,5,7,0,60.59498984764229,0.3650326712943899,0.6349673287056101,0
3,70,5,8,0,69.34272746536108,0.48407251,0.51592749,1
3,70,5,9,0,62.84172954460746,0.29171061860541264,0.7082893813945874,1
3,70,5,10,1,83.43067623318659,0.30359996072981804,0.6964000392701819,0
3,70,5,11,1,94.42311190249792,0.7256851839262692,0.27431481607373065,0
3,70,5,12,1,94.40659021103765,0.8999774919472029,0.10002250805279708,0
3,70,5,13,1,98.54786531826474,0.8999932866339861,0.10000671336601387,0
3,70,5,14,1,90.25016821,0.899999864,0.10000013605240801,0
3,70,5,15,1,87.97661292699554,0.8998181089779654,0.10018189102203445,0
3,70,5,16,1,87.27320026190235,0.8991462278835638,0.10085377211643609,0
3,70,5,17,1,82.26761342208516,0.8986641874189334,0.10133581258106658,0
3,70,5,18,1,94.91183717,0.8817846055032911,0.11821539449670884,0
3,70,5,19,1,84.49466184944262,0.8999948000397316,0.10000519996026845,0
4,70,5,0,0,70.75842560714409,0.9,0.1,0
4,70,5,1,0,77.49926999856743,0.7015299670654328,0.29847003293456714,0
4,70,5,2,0,55.06136603339702,0.6443507018207446,0.35564929817925545,0
4,70,5,3,0,80.40397762436967,0.8756937465675082,0.12430625343249191,0
4,70,5,4,0,63.72547719959635,0.853179013,0.14682098686325007,0
